iso_code,Continent,Country,Obesity adult
AFG,Asia,Afghanistan,5.50
OWID_AFR,,Africa
ALB,Europe,Albania,27.40
DZA,Africa,Algeria,27.40
AND,Europe,Andorra,25.6
AGO,Africa,Angola,8.20
AIA,North America,Anguilla
ATG,North America,Antigua and Barbuda,18.9
ARG,South America,Argentina,28.9
ARM,Asia,Armenia,20.2
ABW,North America,Aruba
OWID_ASI,,Asia
AUS,Oceania,Australia,29.0
AUT,Europe,Austria,20.1
AZE,Asia,Azerbaijan,19.9
BHS,North America,Bahamas,31.6
BHR,Asia,Bahrain,29.8
BGD,Asia,Bangladesh,3.6
BRB,North America,Barbados,23.1
BLR,Europe,Belarus,24.5
BEL,Europe,Belgium,22.1
BLZ,North America,Belize,24.1
BEN,Africa,Benin,9.6
BMU,North America,Bermuda,34.4
BTN,Asia,Bhutan,6.4
BOL,South America,Bolivia,20.2
BES,North America,Bonaire Sint Eustatius and Saba
BIH,Europe,Bosnia and Herzegovina,17.9
BWA,Africa,Botswana,18.9
BRA,South America,Brazil,22.1
VGB,North America,British Virgin Islands
BRN,Asia,Brunei,14.1
BGR,Europe,Bulgaria,25.0
BFA,Africa,Burkina Faso,5.6
BDI,Africa,Burundi,5.4
KHM,Asia,Cambodia,3.9
CMR,Africa,Cameroon,11.4
CAN,North America,Canada,29.4
CPV,Africa,Cape Verde,11.8
CYM,North America,Cayman Islands
CAF,Africa,Central African Republic,7.5
TCD,Africa,Chad,6.1
CHL,South America,Chile,28.0
CHN,Asia,China,6.2
COL,South America,Colombia,22.3
COM,Africa,Comoros,7.8
COG,Africa,Congo,9.6
COK,Oceania,Cook Islands,55.9
CRI,North America,Costa Rica,25.7
CIV,Africa,Cote d'Ivoire,10.3
HRV,Europe,Croatia,24.4
CUB,North America,Cuba,24.6
CUW,North America,Curacao
CYP,Europe,Cyprus,21.8
CZE,Europe,Czechia,26.0
COD,Africa,Democratic Republic of Congo,6.7
DNK,Europe,Denmark,19.7
DJI,Africa,Djibouti,13.5
DMA,North America,Dominica,27.9
DOM,North America,Dominican Republic,27.6
ECU,South America,Ecuador,19.9
EGY,Africa,Egypt,32.0
SLV,North America,El Salvador,24.6
GNQ,Africa,Equatorial Guinea,8.0
ERI,Africa,Eritrea,5.0
EST,Europe,Estonia,21.2
SWZ,Africa,Eswatini,16.5
ETH,Africa,Ethiopia,4.5
OWID_EUR,,Europe
OWID_EUN,,European Union
FRO,Europe,Faeroe Islands
FLK,South America,Falkland Islands
FJI,Oceania,Fiji,30.2
FIN,Europe,Finland,22.2
FRA,Europe,France,21.6
PYF,Oceania,French Polynesia
GAB,Africa,Gabon,15.0
GMB,Africa,Gambia,10.3
GEO,Asia,Georgia,21.7
DEU,Europe,Germany,22.3
GHA,Africa,Ghana,10.9
GIB,Europe,Gibraltar
GRC,Europe,Greece,24.9
GRL,North America,Greenland,25
GRD,North America,Grenada,21.3
GTM,North America,Guatemala,21.2
GGY,Europe,Guernsey
GIN,Africa,Guinea,7.7
GNB,Africa,Guinea-Bissau,9.5
GUY,South America,Guyana,20.2
